Invariant,Avg,Prior,Ratio,S24,S10,S25,S8,S21,S9,S6,S16,S14,S23,S22,S26,S13,S12,S15,S7,S17,S11,S27
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),1,0.04425,22.59887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),0.96674,0.04425,21.84719,1,0.9834066436,0.9402162149,0.963610088,0.9490305786,0.9580277546,1,0.9273007331,1,1,1,0.9182633009,1,1,0.9211879397,0.959151283,0.9418311209,1,0.9060022397
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.96135,0.04425,21.72547,1,0.9445151855,0.9528754372,1,0.9717311758,0.9194369225,0.9601844969,0.9719844068,0.9182338185,0.9413861766,0.9430933838,0.9788072254,0.9666689574,0.9442917824,0.9756540302,0.9801716286,0.9434942119,0.9531605642,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.96109,0.04425,21.71964,0.9826487069,0.9475719211,0.9544818493,1,0.9817219408,0.9494880095,0.9507211368,0.9803924505,0.9034593345,0.9388847391,0.9599009891,0.9750700395,0.9657081199,0.9392605774,0.9624105247,0.9723915994,0.9440276421,0.9526476736,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.95581,0.04425,21.60032,1,0.9778435442,0.9335190983,0.9566476234,0.940316508,0.9494880095,1,0.914635339,1,1,1,0.833140598,1,1,0.9092446984,0.945359595,0.9293558316,1,0.8709175405
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.95533,0.04425,21.58946,0.9114796308,0.9527752729,0.957387082,1,1,1,0.9353566985,1,0.8488283643,0.9263044419,1,0.9614871323,0.963610088,0.9258708486,0.9175721521,0.9545639053,0.9450648482,0.9510393192,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.95533,0.04425,21.58932,0.9747558455,0.9661953648,0.9465034995,0.9661953648,0.9538713589,0.9588016596,0.9647033379,0.9525354017,0.9089437114,0.9537031674,0.9263782216,0.9701090589,0.9698381453,0.930945126,0.9524653379,0.972854685,0.9557295501,0.9673195333,0.9593734588
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.9533,0.04425,21.54358,0.9562951853,0.968013328,0.9523711667,0.968013328,0.9579358468,0.9597298116,0.962579847,0.954376829,0.9016828231,0.9544396262,0.9183875559,0.9698276117,0.9684376718,0.933230378,0.9511735176,0.962026714,0.9579284795,0.9626961793,0.9536226354
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ),0.9533,0.04425,21.54358,0.9562951853,0.968013328,0.9523711667,0.968013328,0.9579358468,0.9597298116,0.962579847,0.954376829,0.9016828231,0.9544396262,0.9183875559,0.9698276117,0.9684376718,0.933230378,0.9511735176,0.962026714,0.9579284795,0.9626961793,0.9536226354
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.94754,0.04425,21.41337,0.9147184795,0.9724569941,0.9668952888,0.9724569941,0.9688977689,0.9622792304,0.9543387312,0.9591332093,0.8707675912,0.9571651764,0.8957597731,0.9689505452,0.9652066236,0.9392605774,0.9468393767,0.93682815,0.963384583,0.9526476736,0.9353078542
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human<0 ),0.63158,0.03388,18.64165,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.78616,0.04425,17.76628,0.9225149503,1,1,0.8152717516,0.8112079179,0.9721520094,0.7068810685,0.890870082,0.8295357075,1,0.6054455691,0,0,0.6408408973,1,0.8811634263,1,0.9510393192,0.9100758153
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.75653,0.04425,17.09679,0.9340288803,1,1,0.8345421912,1,1,0.445633713,1,0.8295357075,1,0.7542399204,0,0,0.6408408973,0,1,1,1,0.9353078542
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human>0 ),0.57895,0.03388,17.08817,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.61216,0.04425,13.8342,0.9061322202,0,1,0.7909208478,0.763180443,0.8703540423,1,0.8032152659,0,1,0,0,0,0,1,0.7119516394,1,0.9327716649,0.8525754511
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),1,0.0975,10.25641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.89474,0.0975,9.17679,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.89474,0.0975,9.17679,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.39459,0.04425,8.91739,0,1,0.5290467731,0.7160638377,0,0,0.6818964728,0.8596006975,0.1109354505,0.2587916399,0.5510871044,0,0.5577098447,0,0.2177083032,0.7119516394,0.302502141,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.84211,0.0975,8.63698,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.84211,0.0975,8.63698,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.81777,0.0975,8.38742,1,1,1,1,1,1,1,1,0.3645231064,1,1,0,1,0.1731805942,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ),0.8168,0.0975,8.37748,1,1,1,1,1,1,1,1,0.3586701762,1,1,0,1,0.1606182183,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.76132,0.0975,7.80843,1,0,1,1,1,1,1,1,0.3569617418,1,1,0,1,0.1081621542,1,1,1,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.34544,0.04425,7.80659,0,1,0.6919955392,0.5577098447,0,0,0.6165236864,0.6711443111,0.1109354505,0,0.2348310476,0,0.7160638377,0,0,0.7119516394,0.2522353862,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ),0.76066,0.0975,7.80161,1,0,1,1,1,1,1,1,0.3524769171,1,1,0,1,0.09999763465,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.71523,0.0975,7.33568,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5893472515,1,0,1,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.70812,0.0975,7.26275,1,1,1,0,0,1,1,1,0.3331580349,1,1,0,1,0.1210909528,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.68421,0.0975,7.01754,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.68421,0.0975,7.01754,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ),0.68421,0.0975,7.01754,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ),0.31021,0.04425,7.01032,0,1,0.2724367963,0.6270436534,0,0,0.3147631527,0.7537716794,0.08557491066,0.08517581597,0.1971229562,0,0.264854025,1,0.2177083032,0.7119516394,0.2019086673,0,0.1616161213
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.66824,0.0975,6.85378,1,1,1,1,1,0,1,1,1,1,1,0,0,0.6966236591,1,0,1,0,0
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.30169,0.04425,6.81781,0,0,0,0.7909208478,0,0,1,1,0,0.3176534967,0.8308071303,0,0.4567105538,0,1,0,0.3359800504,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.65293,0.0975,6.69676,1,0,1,0,0,1,1,1,0.3331580349,1,1,0,1,0.0725977621,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.63158,0.0975,6.47773,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.28438,0.04425,6.42666,0,0,0,0,0,0,0.7068810685,0.8361224945,0.2723743982,0.2587916399,0.5510871044,0,0.6270436534,0,0.2706377119,0.7119516394,0.168324155,0,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.94737,0.14803,6.39984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.89474,0.14803,6.04429,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.89474,0.14803,6.04429,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  ),0.89474,0.14803,6.04429,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==  ),0.89474,0.14803,6.04429,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ),0.89474,0.14803,6.04429,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.57895,0.0975,5.93792,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.57895,0.0975,5.93792,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1
