Invariant,Avg,Prior,Ratio,Avg Observations,Avg A Samples, ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-22-56interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-16-09-05-07interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-19-57interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-16-08-45-02interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-26-51interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-08-39-33interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-17-08-34-24interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-21-06interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-30-55interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-11-08-59-37interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-49-02interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-46-25interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-57-55interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-17-08-44-17interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-19-53-11interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-15-27interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-06-38interpolatedtest.csv
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.10425,0.03845,2.71121,489.00000,2.71121,0.31581,0.0,0.0,0.02206,0.30699,0.0,0.29039,0.09125,0.00713,0.02039,0.0,0.0,0.0,0.1929,0.0,0.2338,0.29146
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.11765,0.03845,3.05974,99.00000,3.05974,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.13948,0.03845,3.62754,6273.00000,3.62754,0.29472,0.0,0.0,0.14,0.19826,0.0,0.26465,0.25436,0.19833,0.12018,0.0,0.16003,0.13589,0.15591,0.09445,0.21895,0.13541
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.23209,0.03845,6.03617,1693.00000,6.03617,0.0,0.94809,0.99745,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.OutsideSweepArea /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.PossibleTargetDetected /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Suspended /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.30776,0.03281,9.38019,2467.00000,9.38019,0.26303,0.0,0.0,0.21152,0.43787,0.0,0.21877,0.44766,0.64582,0.47932,0.0,0.39113,0.51951,0.12728,0.45027,0.35741,0.6824
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.15330,0.03281,4.67250,710.00000,4.67250,0.0,0.4719,1.0,0.0,0.0,0.49052,0.0,0.0,0.0,0.0,0.64376,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.08419,0.03281,2.56608,112.00000,2.56608,0.0,0.0,0.0,0.31912,1.0,0.0,0.0,0.0,0.0,0.11216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.05882,0.03281,1.79285,4.00000,1.79285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.Hovering | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03281,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
