
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.05134 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual ) = 0.11339 * 0.00000 / 0.15854 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual ) = 0.12122 * 0.15878 / 0.18963 = 0.10150 (47) (A_count=296)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.04782 = 0.00313 (1) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.03798 / 0.03208 = 1.00000 (70) (A_count=1843)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.17741 * 0.13316 / 0.49640 = 0.04759 (102) (A_count=766)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.30982 / 0.32715 = 0.79998 (571) (A_count=1843)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.17741 * 0.06136 / 0.02061 = 0.52809 (47) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.41660 * 0.01958 / 0.02509 = 0.32509 (24) (A_count=1226)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00113 / 0.02164 = 0.02111 (1) (A_count=888)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.41660 * 0.46574 / 0.45716 = 0.42442 (571) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.05534 / 0.12177 = 0.38392 (102) (A_count=1843)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.34943 / 0.29921 = 0.98649 (644) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.04532 / 0.02812 = 0.25013 (47) (A_count=1037)





P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.00864 * 0.10000 / 0.17383 = 0.00497 (2) (A_count=20)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.12122 * 0.00338 / 0.00925 = 0.04427 (1) (A_count=296)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00597 / 0.00504 = 1.00000 (11) (A_count=1843)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.01548 * 0.15000 / 0.03907 = 0.05942 (6) (A_count=40)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.11339 * 0.30132 / 0.27078 = 0.12618 (91) (A_count=302)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.17741 * 0.08486 / 0.08548 = 0.17611 (65) (A_count=766)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.12122 * 0.18919 / 0.24331 = 0.09426 (56) (A_count=296)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.17741 * 0.01044 / 0.00263 = 0.70422 (8) (A_count=766)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00092 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00450 / 0.00392 = 0.46662 (4) (A_count=888)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.76504 * 0.04251 / 0.07495 = 0.43386 (97) (A_count=2282)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.91677 * 0.00895 / 0.00820 = 1.00000 (24) (A_count=2682)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected ) = 0.12122 * 0.00000 / 0.00136 = 0.00000 (0) (A_count=296)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00000 / 0.00106 = 0.00000 (0) (A_count=1226)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00864 * 0.30000 / 0.22374 = 0.01159 (6) (A_count=20)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00193 / 0.00076 = 0.39501 (2) (A_count=1037)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected ) = 0.11339 * 0.00000 / 0.00241 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.01411 / 0.01192 = 1.00000 (26) (A_count=1843)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.01548 * 0.05000 / 0.19803 = 0.00391 (2) (A_count=40)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.91677 * 0.02088 / 0.02671 = 0.71671 (56) (A_count=2682)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.17741 * 0.00783 / 0.00450 = 0.30864 (6) (A_count=766)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.01548 * 0.15000 / 0.17392 = 0.01335 (6) (A_count=40)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.03402 * 0.02740 / 0.15063 = 0.00619 (2) (A_count=73)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.41660 * 0.01958 / 0.02438 = 0.33450 (24) (A_count=1226)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.91677 * 0.15585 / 0.15087 = 0.94706 (418) (A_count=2682)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00676 / 0.00781 = 0.35079 (6) (A_count=888)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.04126 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.91677 * 0.17897 / 0.17290 = 0.94895 (480) (A_count=2682)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.91677 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2682)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected ) = 0.11339 * 0.00993 / 0.00181 = 0.62086 (3) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00109 / 0.00092 = 1.00000 (2) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.00015 = 1.00000 (1) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00380 / 0.00321 = 1.00000 (7) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.04157 = 0.00000 (0) (A_count=44)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.00307 / 0.01178 = 0.19927 (7) (A_count=2282)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00571 / 0.00485 = 0.49067 (7) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00030 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.15519 * 0.02314 / 0.02926 = 0.12274 (24) (A_count=1037)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.12122 * 0.00338 / 0.00313 = 0.13083 (1) (A_count=296)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00054 / 0.00136 = 0.33781 (1) (A_count=1843)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00071 = 0.00000 (0) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00163 / 0.00138 = 1.00000 (3) (A_count=1843)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00864 * 0.05000 / 0.03544 = 0.01220 (1) (A_count=20)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.01387 / 0.00789 = 0.73187 (17) (A_count=1226)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.91677 * 0.22185 / 0.22398 = 0.90804 (595) (A_count=2682)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00212 = 0.00000 (0) (A_count=1226)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.76504 * 0.00351 / 0.00307 = 0.87222 (8) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.12122 * 0.00000 / 0.00068 = 0.00000 (0) (A_count=296)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00000 / 0.00298 = 0.00000 (0) (A_count=888)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.11339 * 0.00993 / 0.00113 = 1.00000 (3) (A_count=302)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.02928 / 0.01397 = 0.85044 (26) (A_count=888)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.00727 * 0.28571 / 0.15173 = 0.01370 (6) (A_count=21)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected ) = 0.11339 * 0.01987 / 0.00500 = 0.45018 (6) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00338 / 0.00465 = 0.29455 (3) (A_count=888)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00113 / 0.02104 = 0.02171 (1) (A_count=888)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected ) = 0.11339 * 0.00000 / 0.00138 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00392 / 0.00381 = 0.18248 (3) (A_count=766)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.00864 * 0.05000 / 0.03613 = 0.01196 (1) (A_count=20)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.03402 * 0.00000 / 0.03510 = 0.00000 (0) (A_count=73)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.11339 * 0.00000 / 0.00069 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.76504 * 0.00088 / 0.00067 = 1.00000 (2) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.15519 * 0.02507 / 0.27663 = 0.01406 (26) (A_count=1037)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.91677 * 0.20805 / 0.19620 = 0.97215 (558) (A_count=2682)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00326 / 0.00383 = 0.35505 (4) (A_count=1226)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.11339 * 0.00000 / 0.18056 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.17741 * 0.05875 / 0.02015 = 0.51724 (45) (A_count=766)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00727 * 0.14286 / 0.03889 = 0.02673 (3) (A_count=21)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
